MENU_ITEM_ID,RESTAURANT_ID,NAME,DESCRIPTION,PRICE,MENU_ITEM_RATING
M00001,R00001,PEPPERONI PIZZA,"Indulge in the classic goodness of our Pepperoni Pizza, featuring a perfect blend of zesty tomato sauce, gooey mozzarella, and savory pepperoni.",12.99,
M00002,R00001,SUSHI,"Immerse yourself in the artistry of sushi at ZenRoll, where fresh, hand-rolled delicacies showcase the harmony of flavors from the ocean to your plate.",16.99,
M00003,R00001,CHEESEBURGER,"Experience burger perfection with our signature Cheeseburger, crafted with premium beef, melted cheese, crisp veggies, and a secret sauce that's sure to delight.",9.99,
M00004,R00001,CHICKEN BIRYANI,"Dive into the aromatic world of Indian cuisine with our Chicken Biryani, a fragrant blend of basmati rice, succulent chicken, and aromatic spices.",14.99,
M00005,R00001,CHEESECAKE,"Indulge your sweet tooth with our heavenly Cheesecake, a velvety blend of creamy goodness atop a decadent crust, a symphony of flavors in every bite.",7.99,
M00001,R00002,PEPPERONI PIZZA,"CrispySlice invites you to savor our Pepperoni Pizza, a perfect medley of thin, crunchy crust, tangy tomato sauce, gooey cheese, and savory pepperoni.",14.99,
M00002,R00002,SUSHI,"Embark on a culinary journey at MysticRoll, where our exquisite sushi showcases a fusion of traditional craftsmanship and innovative flavors.",18.99,
M00003,R00002,CHEESEBURGER,"FlameCraft Burger Co. elevates the classic Cheeseburger with flame-grilled perfection, featuring premium beef, melted cheese, and gourmet toppings.",11.99,
M00004,R00002,CHICKEN BIRYANI,"SpiceTrail invites you to savor the richness of our Chicken Biryani, a tantalizing blend of aromatic spices and tender chicken, served with fragrant basmati rice.",16.99,
M00005,R00002,CHEESECAKE,"Delight your senses with the VelvetCrust Cheesecake, a velvety masterpiece of rich creaminess on a buttery crust, a dessert symphony that lingers.",8.99,
M00001,R00003,PEPPERONI PIZZA,"FireSlice presents the Pepperoni Pizza, a culinary inferno of robust flavors, with a bold tomato sauce, molten cheese, and perfectly crisped pepperoni.",13.49,
M00002,R00003,SUSHI,"SakuraRoll invites you to experience the artistry of sushi, where fresh, delicate rolls mirror the beauty of cherry blossoms in every bite.",15.99,
M00003,R00003,CHEESEBURGER,"EpicureanBite crafts the ultimate Cheeseburger, blending prime beef, artisanal cheese, and gourmet toppings for a burger experience that's simply extraordinary.",10.99,
M00004,R00003,CHICKEN BIRYANI,"SaffronSavor invites you to relish the aromatic allure of our Chicken Biryani, a symphony of spices and succulent chicken, served with fragrant basmati rice.",15.49,
M00005,R00003,CHEESECAKE,"DivineDessert presents the Cheesecake Delight, a heavenly confection of smooth creaminess and delectable crust that's a taste of pure indulgence.",9.99,
